번호	사이트 종류	제목	작가	이미지	링크	최신화 제목	최신화 링크
1	네이버	신의 탑	SIU	https://shared-comic.pstatic.net/thumb/webtoon/183559/thumbnail/thumbnail_IMAG10_5e13c29c-f451-4430-a84a-a46495fb8cc3.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=183559&weekday=mon	3부 4화	https://comic.naver.com/webtoon/detail.nhn?titleId=183559&no=423&weekday=mon
2	네이버	뷰티풀 군바리	설이 / 윤성원	https://shared-comic.pstatic.net/thumb/webtoon/648419/thumbnail/thumbnail_IMAG10_1421195d-13be-4cde-bcf9-0c78d51c5ea3.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=648419&weekday=mon	205화_검열 7	https://comic.naver.com/webtoon/detail.nhn?titleId=648419&no=209&weekday=mon
3	네이버	소녀의 세계	모랑지	https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG10_b85f5350-ca68-4300-ab15-036d9ee060c8.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=654774&weekday=mon	188화 소애튜브 (마지막)	https://comic.naver.com/webtoon/detail.nhn?titleId=654774&no=189&weekday=mon
4	네이버	윈드브레이커	조용석	https://shared-comic.pstatic.net/thumb/webtoon/602910/thumbnail/thumbnail_IMAG10_8914c548-d69d-45d6-8008-bbc129e637c2.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=602910&weekday=mon	3부 - 02화 찢겨진 날개	https://comic.naver.com/webtoon/detail.nhn?titleId=602910&no=252&weekday=mon
5	네이버	대학일기	자까	https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t83x90.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=679519&weekday=mon	후기	https://comic.naver.com/webtoon/detail.nhn?titleId=679519&no=292&weekday=mon
6	네이버	용비불패 완전판	류기운 / 문정후	https://shared-comic.pstatic.net/thumb/webtoon/723714/thumbnail/thumbnail_IMAG10_d7d9c81f-d07b-449d-898a-54136a8a67af.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=723714&weekday=mon	26화	https://comic.naver.com/webtoon/detail.nhn?titleId=723714&no=26&weekday=mon
7	네이버	데드라이프	후렛샤 / 임진국	https://shared-comic.pstatic.net/thumb/webtoon/713975/thumbnail/thumbnail_IMAG10_2c34bc9e-747c-4257-bf48-a67a560dca0a.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=713975&weekday=mon	37	https://comic.naver.com/webtoon/detail.nhn?titleId=713975&no=38&weekday=mon
8	네이버	니편내편	미티	https://shared-comic.pstatic.net/thumb/webtoon/702422/thumbnail/thumbnail_IMAG10_8a7d3a98-291e-4fec-b399-7b8219c90854.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=702422&weekday=mon	73화	https://comic.naver.com/webtoon/detail.nhn?titleId=702422&no=75&weekday=mon
9	네이버	평범한 8반	영파카	https://shared-comic.pstatic.net/thumb/webtoon/597478/thumbnail/thumbnail_IMAG10_e4cf12ad-ee5b-441f-b237-8c15e488f6ed.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=597478&weekday=mon	5장 1화_ 미녀 작사가의 고백(1)	https://comic.naver.com/webtoon/detail.nhn?titleId=597478&no=250&weekday=mon
10	네이버	가우스전자 시즌3~4	곽백수	https://shared-comic.pstatic.net/thumb/webtoon/675554/thumbnail/thumbnail_IMAG10_66613407-1041-4f4f-ad8a-1983361f932e.jpg	https://comic.naver.com/webtoon/list.nhn?titleId=675554&weekday=mon	시즌4 283화 지분싸움	https://comic.naver.com/webtoon/detail.nhn?titleId=675554&no=763&weekday=mon
